source_id_1,TYC_ID_1,ra_1,dec_1,mu_ra_1,mu_dec_1,mu_ra_err_1,mu_dec_err_1,plx_1,plx_err_1,source_id_2,TYC_ID_2,ra_2,dec_2,mu_ra_2,mu_dec_2,mu_ra_err_2,mu_dec_err_2,plx_2,plx_err_2,P_log_flat,P_power_law,theta
2765217352391138688,594-134-1,0.056755716,9.799007699,26.815,-2.38,1.293,0.47,2.799,0.381,2765236731283414784,594-81-1,0.034556743,9.934861687,27.466,-1.721,1.864,0.627,2.798,0.576,0.9998,0.9991,495.37
537429601345896832,4302-81-1,0.066599019,72.400910406,2.283,-0.699,0.629,0.633,1.934,0.247,537429670065372928,4302-93-1,0.055995873,72.407472838,2.312,1.296,0.646,0.713,1.939,0.23,0.9512,0.9923,26.29
2305900664854805632,7526-320-1,0.085626141,-41.040618379,48.7,-8.964,0.804,0.748,6.284,0.326,2305905578297389312,7526-515-1,0.413417693,-40.890382017,49.46,-7.987,0.718,0.703,5.313,0.28,0.0,1.0,1042.36
429342935412328704,4014-3283-1,0.10859818,60.427640719,28.736,11.845,0.668,0.594,10.207,0.24,429343004131805568,4014-1005-1,0.103460296,60.425356144,28.107,11.49,0.739,0.58,10.275,0.264,1.0,1.0,12.29
2880169678167998336,2271-911-1,0.206896194,36.780005961,-24.592,-22.271,0.1,0.06,6.82,0.275,2880169884326428672,2271-1988-1,0.202591996,36.777482542,-25.775,-23.136,0.163,0.096,7.09,0.951,1.0,1.0,15.38
393882207946562176,3254-569-1,0.247607318,49.848461401,6.05,4.766,1.422,0.638,2.754,0.489,393882311025775616,3254-1352-1,0.245721465,49.867499152,7.021,4.127,0.887,0.323,2.094,0.336,0.9996,0.9714,68.68
4702974002115657472,9137-1774-1,0.323387223,-70.186585981,65.449,-12.933,0.623,0.775,4.674,0.286,4702974002115657600,9137-1708-1,0.343730452,-70.190297279,65.612,-13.54,0.517,0.622,4.608,0.247,1.0,1.0,28.19
531236430303749120,4298-598-1,0.327736801,70.928906994,-5.312,-7.696,0.043,0.05,3.193,0.239,531236670821917568,4298-574-1,0.264366069,70.929875534,-4.795,-6.918,0.695,0.685,3.442,0.318,0.9998,0.9986,74.62
2746675841135223808,594-1018-1,0.333422067,7.701338965,-34.787,-70.55,0.742,0.386,6.515,0.695,2746675841135223936,594-932-1,0.329181274,7.700904905,-33.0,-70.669,1.331,0.478,7.035,0.342,1.0,1.0,15.21
431589443832231040,4018-3894-1,0.467817925,63.317569406,-8.616,-1.053,0.828,0.783,0.957,0.308,431589443832231168,4018-1616-1,0.468587986,63.316411547,-9.021,0.101,0.765,0.919,1.124,0.297,0.9985,0.999,4.35
386680922180736640,3246-2085-1,0.507029583,45.522186143,0.577,2.087,1.841,1.858,5.11,0.769,386680922183072256,3246-2085-2,0.508462957,45.522914519,3.728,6.062,1.86,1.469,6.405,0.735,0.9993,0.9918,4.47
2848236321444116352,1729-1129-1,0.507317265,23.780868823,26.989,5.649,0.477,0.527,5.042,0.611,2848423994335483264,1729-1118-1,0.499419127,23.783826148,24.44,6.339,0.769,0.468,5.172,0.356,1.0,1.0,28.11
423321563060766336,3664-92-1,0.508549449,59.970745978,15.053,0.987,1.131,0.733,2.254,0.522,423322971810040192,3664-62-1,0.551750347,59.965344006,13.931,0.864,0.087,0.087,2.681,0.249,0.9997,0.9932,80.23
2875031522892855168,2263-485-1,0.515472959,33.490130863,102.35,33.379,1.938,0.794,11.689,0.829,2875033172160296064,2263-585-1,0.555757622,33.534124116,100.333,33.875,0.713,0.348,12.126,0.277,1.0,1.0,199.26
422570665338493568,3660-1463-1,0.545233377,57.256872257,-25.523,-11.419,0.826,0.399,4.519,0.277,422570665343795456,3660-1463-2,0.546051504,57.256430128,-22.585,-11.199,0.981,0.472,4.496,0.319,1.0,1.0,2.25
565057236176626816,4500-783-1,0.695113156,80.282348894,48.607,16.294,0.097,0.082,5.386,0.228,565057270536364800,4500-807-1,0.706055007,80.286610845,49.529,14.595,0.277,0.265,5.349,0.262,1.0,1.0,16.72
393300738095845760,3250-989-1,0.703956312,48.072442676,-8.575,-17.935,1.46,1.212,4.839,0.615,393300772455583744,3250-975-1,0.708516981,48.07858086,-8.314,-16.749,0.612,0.609,4.746,0.346,1.0,1.0,24.67
2746804071678857856,594-1208-1,0.76527459,8.261085295,-38.056,-49.759,0.091,0.054,7.811,0.685,2746804140398334464,594-970-1,0.765504613,8.270478556,-36.987,-49.417,0.07,0.041,7.843,0.308,1.0,1.0,33.83
393856128906829696,3254-1715-1,0.792993011,49.436103055,-9.546,-11.497,1.103,0.39,3.89,0.463,393856128906829824,3254-1191-1,0.786035371,49.435439126,-7.948,-12.377,1.808,0.906,3.614,0.707,1.0,0.9999,16.46
2741902586280941440,4-558-1,0.881924384,4.745333397,4.879,-12.82,0.708,0.456,5.318,0.381,2741914199872736128,4-544-1,0.959824024,4.911419698,6.06,-11.327,3.286,1.347,5.167,0.843,0.9887,0.9938,659.99
530700418385236608,4298-373-1,0.938339655,69.806180315,25.701,-4.432,1.475,1.219,3.192,0.611,530792330685340800,4298-683-1,1.464957558,69.885710245,25.922,-4.369,0.616,0.621,3.84,0.316,0.9987,0.5654,713.19
4684889887697018368,9346-1210-1,1.026452988,-76.464197103,37.373,5.652,0.691,0.76,3.677,0.25,4684945138156309376,9346-473-1,0.402242949,-76.259341911,36.514,7.57,0.849,0.843,3.276,0.261,1.0,0.9973,908.08
